participant,task,attempt,method,Rv,Rf,Rv*,Rf*,RvD,RfD,Force,iactT
P2,T1,1,A,0.287272883877,59.2690048289,0.102927347499,37.6991611249,-0.184345536378,-21.5698437041,704.818998,21.8
P2,T1,1,B,0.122853371717,32.4062889762,0.102927347499,37.6991611249,-0.019926024218,5.29287214867,248.728028,14.8
P2,T1,2,A,0.322063688444,74.5811154024,0.102927347499,37.6991611249,-0.219136340945,-36.8819542775,1014.53829,26.4
P2,T1,2,B,0.11640217053,36.9338158234,0.102927347499,37.6991611249,-0.013474823031,0.7653453015,181.675406,12.4
P2,T2,1,A,0.121959286748,37.0562599213,0.029572791377,37.4201667692,-0.092386495371,0.363906847921,560.56732,13.8
P2,T2,1,B,0.053053713304,34.3767704313,0.029572791377,37.4201667692,-0.023480921927,3.04339633798,517.651056,13.2
P2,T2,2,A,0.050488843546,35.0937872751,0.029572791377,37.4201667692,-0.020916052169,2.3263794941,249.664236,3.6
P2,T2,2,B,0.057048912192,36.0966840902,0.029572791377,37.4201667692,-0.027476120815,1.32348267905,566.765004,11.4
P2,T3,1,A,0.180233955528,3.99045427445,0.040048660124,10.3543236534,-0.140185295404,6.36386937898,143.374004,7.2
P2,T3,1,B,0.203449331547,18.2836096029,0.040048660124,10.3543236534,-0.163400671423,-7.92928594945,489.284178,10.4
P2,T3,2,A,0.108690585299,2.67210556092,0.040048660124,10.3543236534,-0.068641925175,7.68221809251,60.474598,2.4
P2,T3,2,B,0.241808465946,10.7819971124,0.040048660124,10.3543236534,-0.201759805822,-0.427673458948,1071.0805,10.4
P3,T1,1,A,0.208000894308,34.258879289,0.102927347499,37.6991611249,-0.105073546809,3.44028183591,112.290322,3.4
P3,T1,1,B,0.155415377902,34.54035055,0.102927347499,37.6991611249,-0.052488030403,3.15881057486,220.235952,6.8
P3,T1,2,A,0.358333022298,39.3446852044,0.102927347499,37.6991611249,-0.255405674799,-1.64552407946,387.31218,8.8
P3,T1,2,B,0.199256577593,27.5585623153,0.102927347499,37.6991611249,-0.096329230094,10.1405988096,354.067146,9.4
P3,T2,1,A,0.071802005133,33.4425945735,0.029572791377,37.4201667692,-0.042229213756,3.97757219568,210.240872,5.6
P3,T2,1,B,0.052611078251,28.2100351401,0.029572791377,37.4201667692,-0.023038286874,9.21013162909,596.38476,9.2
P3,T2,2,A,0.076733750051,28.3786551651,0.029572791377,37.4201667692,-0.047160958674,9.04151160408,310.579952,3.6
P3,T2,2,B,0.058746504963,25.8109314236,0.029572791377,37.4201667692,-0.029173713586,11.6092353456,897.431968,10.4
P3,T3,1,A,0.173890730889,2.48872818243,0.040048660124,10.3543236534,-0.133842070765,7.865595471,177.105176,3.8
P3,T3,1,B,0.070195031364,10.4879890482,0.040048660124,10.3543236534,-0.03014637124,-0.133665394736,234.564134,7.2
P3,T3,2,A,0.258658988474,7.18988994914,0.040048660124,10.3543236534,-0.21861032835,3.16443370429,559.470184,23.8
P3,T3,2,B,0.104935658331,0.521817766004,0.040048660124,10.3543236534,-0.064886998207,9.83250588742,230.127998,5.2
P4,T1,1,A,0.265153168245,42.0644282871,0.102927347499,37.6991611249,-0.162225820746,-4.36526716216,278.14438,8.1
P4,T1,1,B,0.179611810574,24.9084635622,0.102927347499,37.6991611249,-0.076684463075,12.7906975627,317.468062,8.0
P4,T1,2,A,0.200326839,34.1926675682,0.102927347499,37.6991611249,-0.097399491501,3.5064935567,127.724434,2.8
P4,T1,2,B,0.173751980461,24.5860886184,0.102927347499,37.6991611249,-0.070824632962,13.1130725065,275.26434,7.2
P4,T2,1,A,0.103091053727,36.6112639395,0.029572791377,37.4201667692,-0.07351826235,0.808902829695,359.06774,4.4
P4,T2,1,B,0.110224704397,32.6924002202,0.029572791377,37.4201667692,-0.08065191302,4.72776654903,637.893994,7.4
P4,T2,2,A,0.101550394247,38.3075142813,0.029572791377,37.4201667692,-0.07197760287,-0.887347512069,274.272994,3.0
P4,T2,2,B,0.081321151622,33.7354169958,0.029572791377,37.4201667692,-0.051748360245,3.6847497734,507.470804,6.6
P4,T3,1,A,0.271019883297,18.3365091231,0.040048660124,10.3543236534,-0.230971223173,-7.98218546964,684.938826,6.0
P4,T3,1,B,0.181685464921,13.0549946881,0.040048660124,10.3543236534,-0.141636804797,-2.70067103467,924.57803,7.4
P4,T3,2,A,0.130650533957,7.64665788267,0.040048660124,10.3543236534,-0.090601873833,2.70766577075,165.021368,2.2
P4,T3,2,B,0.124122967192,9.3995223887,0.040048660124,10.3543236534,-0.084074307068,0.954801264733,637.671626,7.4
P5,T1,1,A,0.24609743629,35.5764690486,0.102927347499,37.6991611249,-0.143170088791,2.12269207629,119.61897,2.4
P5,T1,1,B,0.171419252,29.1250153926,0.102927347499,37.6991611249,-0.068491904501,8.57414573234,188.081062,5.2
P5,T1,2,A,0.252086231545,40.4186200337,0.102927347499,37.6991611249,-0.149158884046,-2.71945890881,143.020766,4.0
P5,T1,2,B,0.179356407946,27.4318718871,0.102927347499,37.6991611249,-0.076429060447,10.2672892378,276.290426,7.6
P5,T2,1,A,0.13248223426,30.8818636237,0.029572791377,37.4201667692,-0.102909442883,6.5383031455,360.505817,6.3
P5,T2,1,B,0.079185199272,29.4586557367,0.029572791377,37.4201667692,-0.049612407895,7.96151103255,519.303862,5.6
P5,T2,2,A,0.144840733382,32.2448405578,0.029572791377,37.4201667692,-0.115267942005,5.17532621138,248.488466,4.4
P5,T2,2,B,0.055107539469,30.9932429181,0.029572791377,37.4201667692,-0.025534748092,6.42692385113,434.229296,5.4
P5,T3,1,A,0.142820539804,14.5172295035,0.040048660124,10.3543236534,-0.10277187968,-4.16290585008,131.370558,2.2
P5,T3,1,B,0.092664988423,7.14680973976,0.040048660124,10.3543236534,-0.052616328299,3.20751391367,62.636766,1.4
P5,T3,2,A,0.109684131736,12.0707674644,0.040048660124,10.3543236534,-0.069635471612,-1.71644381094,91.33575,1.8
P5,T3,2,B,0.085058598479,12.9262058029,0.040048660124,10.3543236534,-0.045009938355,-2.57188214949,83.817092,1.6
